target_text,predicted_text
He also created the Defense Intelligence Agency and the Defense Supply Agency.,He was  the film ofligence Agency ( the National Intel Agency.
"Mary Lilian Lucy Josepha Monique Baels was born in Highbury, London, England, one of eight children of Henri Baels, an attorney and fish trader from Ostend, Belgium, and his wife Anne Marie de Visscher, who were","He wasan was wasine a x was born in New Point, Connecticut, England, on of the children of nri Baels and  English and err. theend, Kent. and  wife,. Mon Beau,,  was born"
He is also notable in that he is the great great great grandfather of President George W. Bush through his son Reverend James Smith Bush.,"He was   for the he was  first- grands great of the George W. Bush. his son,.end George..."
"He was the son of a blacksmith Timothy Bush, Jr. and Lydia Newcomb and was born in Penfield, Monroe Co., New York on January 28, 1797.","He was  son of a  man and , who."
"He was a participant in the Underground Railroad, and even petitioned the New York state Legislature to secede from the Union in a protest against slavery.","He was a member in the  Railroad, the was ed the United York City legislature to passede from the Union. 19a bid against the."
"Eventually Obadiah, Henry and possibly another brother or two went off to find their fortunes in the California Gold Rush of 1849.","He<unk> ,eh was , his his , sister were to to college work owns. the  gold Rush. the93."
"Robert Henry Dee (born May 18, 1933 in Quincy, Massachusetts) is a former three-sport letterman at Holy Cross College who was one of the first players signed by the Boston Patriots in 1960.","Hes Fordwe wasborn August 25, 18) Newncy, Massachusetts) is ana former American-time athleteman for the Cross College in was  of the first women to by the University Celtics. the."
"Another example of a player misjudged by the NFL, he became an ironman of the American Football League who never missed a game during his career, starting 112 consecutive games.",He of of a  whounderged by the media is thehe was  NFL man. the NFL Football League. won won a game. the career. and with years games games.
"He was voted to five American Football League All-Star teams (1961, 1963-65).","He was a into the terms Senate League titles-Star teams in94, 1964,64,"
"Joseph H. Ball (November 3, 1905 - December 18, 1993) was an American politician.","Heine. ard* 17, 1812 – December 31, 18) was an American actor and"
He served in the United States Senate as a Republican from Minnesota.,He was in the United States Army from a member candidate the from
He was first appointed to fill the Senate seat of Ernest Lundeen who had died in office.,He was  married to the the position seat of the He.yen in was been in the in
He lost his reelection bid in 1948 to Hubert H. Humphrey.,"He was his fatherfiancecold bid in the, thebert Hu. Humphreys"
"Ball died in Chevy Chase, Maryland.","Heard in  Chase' Michigan,"
"Raymond Arrieta (born March 26, 1965 in San Juan, Puerto Rico) is considered by many to be one of Puerto Rico's greatest comedians.","He Chandlernta,born August 28, 19) New Francisco, Puerto Rico) is an the many to be the of the Rico's most actorss."
"After Raymond graduated from high school, he enrolled in the ""Universidad del Sagrado Corazon"" (University of the Sacred Heart) of San Juan, where he earned a Bachelors Degree in ""Radio and Television Production"".","He the' from the school, he wentenrolled in the UniversityBity de San Salvadoroo""tzon"" inUniversidad of San SouthSacred Heart) and San Francisco, Puerto he was a Bachelor of of in EnglishEnglish Communication Television"".""."
"Matthew Parker (August 6, 1504 - May 17, 1575) was Archbishop of Canterbury from 1559.","Hes wasborn 24, 186) – August 15, 1815) was anbishop of Canterbury, 1507 to"
"The eldest son of William Parker, he was born in Norwich, in St. Saviour's parish.","He film'est son of  and and he was born in New, England the. Johnaviour's,,"
"Matthew was sent in 1522 to Corpus Christi College, Cambridge, where he is said to have been contemporary with William Cecil, but Cecil was only two years old at the time.","Hes born to toth to theus Christi, in where, Massachusetts he was  to have been the of the Shakespearel. the l was not  years old when the time."
"He commenced MA in 1528, and was one of the Cambridge scholars whom Thomas Wolsey wished to transplant to his newly founded ""Cardinal College"" at Oxford.","He wasgrew his in the90 and and was  of the first University who  Jeffersonlsey influenced to emulate to England native- collegeMniff"""" in Cambridge."
"Adolf Otto Reinhold Windaus (December 25, 1876 - June 9, 1959) was a significant German chemist.","Heolphlf Hitlero,hard (ers* 17, 1890 – January 30, 18) was ana German figure-sculptist and"
He won a Nobel Prize in Chemistry in 1928.,He was thea Grammy Prize for Economics in 19.
"Jack Kerouac (March 12, 1922 - October 21, 1969) was an American novelist, writer, poet, artist, and part of the Beat Generation.","He wasrouac,born 24, 1812 – March 31, ) was an American actorist, screen, and, and, and film- the American Generation."
"During Kerouac's time at Columbia University, Burroughs and Kerouac got into trouble with the law for failing to report a murder; this incident formed the basis of a mystery novel the two collaborated on in 1945 entitled And the","He<unk>theatac's time in the University, roughs was hisrouac were married  for the FBI and  to pay a murder.  led led the basis of thea lawsuit novel, author authorsd on, the. The then"
"In between his sea voyages, Kerouac stayed in New York with friends from Fordham.","He the the twogoings, atac wastravelled in the York City his and theham University"
"During this period, McNamara helped to plan the 1945 bombing of Tokyo.","He<unk> the time, emara was to establish and first invasioning of the."
"In 1946 McNamara joined Ford Motor Company, which he later said had been the result of a Life magazine article which reported how few college-educated managers there were at the then unprofitable company.","He the,emara was the Motor Company, where washe  sold was been  best of a merger Insurance article.  that  people studentsagedducated women there were in the time-nameable company."
President-elect John F. Kennedy first offered the post of secretary of defense to former secretary Robert A. Lovett.,"He Clintonelect George F. Kennedy was visited the presidency of president of state to President President of McN. Kennedyllt,"
"Lovett declined but recommended McNamara; Kennedy had him approached by Sargent Shriver (regarding either the Treasury or the Defense cabinet post), and less than five weeks after becoming president at Ford, McNamara accepted Kennedy's invitation to serve","Hecraftt was to was thatamara to she was been arrested by the..ver.whoting the his role or the Treasury Department)). who  than  years later his president, theham amara was the's resignation to join as"
He also created the Defense Intelligence Agency and the Defense Supply Agency.,He was  the film ofligence Agency ( the National Intel Agency.
"Mary Lilian Baels (November 28, 1916 - June 7, 2002) was best known as Princess de Ruthy, the controversial morganatic second wife of King Leopold III of the Belgians.","He wasan wasx was* 17, 18 – January 30, 1969) was an known for the Mary Mau,,  daughter actresssaskeda  wife of the Georgearpold II. England Unitedn Empire."
"Mary Lilian Lucy Josepha Monique Baels was born in Highbury, London, England, one of eight children of Henri Baels, an attorney and fish trader from Ostend, Belgium, and his wife Anne Marie de Visscher, who were","He wasan was wasine a x was born in New Point, Connecticut, England, on of the children born thenri Baels and  English and err. theend, Kent. and  wife,. Mon Beau,,  was born"
He is also notable in that he is the great great great grandfather of President George W. Bush through his son Reverend James Smith Bush.,"He was   for the he was  first-- great of the George W. Bush. his son,.end George H.."
"He was the son of a blacksmith Timothy Bush, Jr. and Lydia Newcomb and was born in Penfield, Monroe Co., New York on January 28, 1797.","He was  first of a  man and , who."
"He was a participant in the Underground Railroad, and even petitioned the New York state Legislature to secede from the Union in a protest against slavery.","He was a member in the  Railroad, the was ed the United York City legislature to passede from the Union. 19a bid against the."
"Eventually Obadiah, Henry and possibly another brother or two went off to find their fortunes in the California Gold Rush of 1849.","He<unk> ,eh was , his his , sister were to to war work owns. the  gold Rush. the93."
"Robert Henry Dee (born May 18, 1933 in Quincy, Massachusetts) is a former three-sport letterman at Holy Cross College who was one of the first players signed by the Boston Patriots in 1960.","Hes Fordwe wasborn August 25, 18) Newncy, Massachusetts) is ana former American-time athleteman for the Cross College in was  of the first women to by the United Celtics. the."
"Another example of a player misjudged by the NFL, he became an ironman of the American Football League who never missed a game during his career, starting 112 consecutive games.",He of of thea  whounderged by the media is thehe was  NFL man. the NFL Football League. won won a game. the career. and with years games games.
"He was voted to five American Football League All-Star teams (1961, 1963-65).","He was borna into the terms Senate League titles-Star teams in94, 1964,65,"
"Joseph H. Ball (November 3, 1905 - December 18, 1993) was an American politician.","Heine. ard* 17, 1812 – December 31, 18) was an American actor and"
He served in the United States Senate as a Republican from Minnesota.,He was in the United States Army from a member candidate the from
He was first appointed to fill the Senate seat of Ernest Lundeen who had died in office.,He was  married to the the position seat of the He.yen in was been in the in
He lost his reelection bid in 1948 to Hubert H. Humphrey.,"He was his fatherfiancecold bid in the, thebert Hu. Humphrey."
"Ball died in Chevy Chase, Maryland.","Heard in New Chase' Michigan,"
"Raymond Arrieta (born March 26, 1965 in San Juan, Puerto Rico) is considered by many to be one of Puerto Rico's greatest comedians.","He Chandlernta,born August 28, 19) New Francisco, Puerto Rico) is an the many to be the of the Rico's most actorss."
"After Raymond graduated from high school, he enrolled in the ""Universidad del Sagrado Corazon"" (University of the Sacred Heart) of San Juan, where he earned a Bachelors Degree in ""Radio and Television Production"".","He the' from the school, he wentenrolled in the UniversityBity de San Salvadoroo""tzon"" inUniversidad of San SouthSacred Heart) and San Francisco, Puerto he was a Bachelor of of in EnglishEnglish Communication Television"".""."
"Matthew Parker (August 6, 1504 - May 17, 1575) was Archbishop of Canterbury from 1559.","Hes wasborn 24, 186) – August 25, 1815) was anbishop of Canterbury, 1507 to"
"The eldest son of William Parker, he was born in Norwich, in St. Saviour's parish.","He film'est son of  and and he was born in New, England the. Johnaviour's,,"
"Matthew was sent in 1522 to Corpus Christi College, Cambridge, where he is said to have been contemporary with William Cecil, but Cecil was only two years old at the time.","Hes born to toth to theus Christi, in where, Massachusetts he was  to have been the of the Shakespearel. who l was not  years old when the time."
"He commenced MA in 1528, and was one of the Cambridge scholars whom Thomas Wolsey wished to transplant to his newly founded ""Cardinal College"" at Oxford.","He wasgrew his in the90 and and was  of the first University who  Jeffersonlsey influenced to emulate to England native- collegeMniff"""" in Cambridge."
"Adolf Otto Reinhold Windaus (December 25, 1876 - June 9, 1959) was a significant German chemist.","Heolphlf Hitlero,hard (ers* 17, 1890 – January 30, 18) was ana German figure-sculptist and"
He won a Nobel Prize in Chemistry in 1928.,He was thea Grammy Prize for Economics in 19.
"Jack Kerouac (March 12, 1922 - October 21, 1969) was an American novelist, writer, poet, artist, and part of the Beat Generation.","He wasrouac,born 24, 1812 – March 31, 19) was an American actorist, screen, and, and, and film- the American Generation."
"During Kerouac's time at Columbia University, Burroughs and Kerouac got into trouble with the law for failing to report a murder; this incident formed the basis of a mystery novel the two collaborated on in 1945 entitled And the","He<unk>theatac's time in the University, roughs was hisrouac were married  for the FBI and  to pay a crime.  led led the basis of thea lawsuit novel, author authorsd on, the. The the Devil"
"In between his sea voyages, Kerouac stayed in New York with friends from Fordham.","He the, twogoings, atac wastravelled in the York City his and theham University"
"During this period, McNamara helped to plan the 1945 bombing of Tokyo.","He<unk> the time, emara was to establish and first invasioning of the."
"In 1946 McNamara joined Ford Motor Company, which he later said had been the result of a Life magazine article which reported how few college-educated managers there were at the then unprofitable company.","He the,emara was the Motor Company, where washe  sold was been  best of a merger Insurance article.  that  people studentsagedducated women there were in the time-nameable company."
"Lovett declined but recommended McNamara; Kennedy had him approached by Sargent Shriver (regarding either the Treasury or the Defense cabinet post), and less than five weeks after becoming president at Ford, McNamara accepted Kennedy's invitation to serve","Hecraftt was to was thatamara to she was been arrested by the..ver.whoting the his role or the Treasury Department)). who  than  years later his president, theham amara was the's resignation to join as"
He also created the Defense Intelligence Agency and the Defense Supply Agency.,He was  the film ofligence Agency ( the National Intel Agency.
"Mary Lilian Baels (November 28, 1916 - June 7, 2002) was best known as Princess de Ruthy, the controversial morganatic second wife of King Leopold III of the Belgians.","He wasan wasx was* 17, 18 – December 30, 1969) was an known for the Mary la,,  daughter actresssaskeda  wife of the Georgearpold II. the Unitedn Empire."
"Mary Lilian Lucy Josepha Monique Baels was born in Highbury, London, England, one of eight children of Henri Baels, an attorney and fish trader from Ostend, Belgium, and his wife Anne Marie de Visscher, who were","He wasan was wasine (a x was born in New Point, Connecticut, England, on of the children born thenri Baels and  English and err. theend, Kent. and  wife,. Mon Beau,,  was born"
He is also notable in that he is the great great great grandfather of President George W. Bush through his son Reverend James Smith Bush.,"He was   for the he was  first-- great of the George W. Bush. his son,.end George..."
"He was the son of a blacksmith Timothy Bush, Jr. and Lydia Newcomb and was born in Penfield, Monroe Co., New York on January 28, 1797.","He was born son of a  man and , who."
"Robert Henry Dee (born May 18, 1933 in Quincy, Massachusetts) is a former three-sport letterman at Holy Cross College who was one of the first players signed by the Boston Patriots in 1960.","Hes Fordwe wasborn August 25, 18) Newncy, Massachusetts) is ana former American-time athleteman and the Cross College in was  of the first women to by the University Celtics. the."
"Another example of a player misjudged by the NFL, he became an ironman of the American Football League who never missed a game during his career, starting 112 consecutive games.",He of of a  whounderged by the  is thehe was  NFL man. the NFL Football League. won won a game. the career. and with years games games.
"He was voted to five American Football League All-Star teams (1961, 1963-65).","He was a into the terms Senate League titles-Star teams in94, 1964,64,"
"Joseph H. Ball (November 3, 1905 - December 18, 1993) was an American politician.","Heine. ard* 17, 1812 – December 31, 18) was an American actor and"
He served in the United States Senate as a Republican from Minnesota.,He was in the United States Army from a member candidate the from
He was first appointed to fill the Senate seat of Ernest Lundeen who had died in office.,He was born married to the the position seat of the He.yen in was been in the in
He lost his reelection bid in 1948 to Hubert H. Humphrey.,"He was his fatherfiancecold bid in the, thebert Hu. Humphrey."
"Ball died in Chevy Chase, Maryland.","Heard in New Chase' Michigan,"
"Raymond Arrieta (born March 26, 1965 in San Juan, Puerto Rico) is considered by many to be one of Puerto Rico's greatest comedians.","He Chandlernta,* August 28, 19) New Francisco, Puerto Rico) is an the many to be the of the Rico's most actorss."
"After Raymond graduated from high school, he enrolled in the ""Universidad del Sagrado Corazon"" (University of the Sacred Heart) of San Juan, where he earned a Bachelors Degree in ""Radio and Television Production"".","He the' from the school, he attendedenrolled in the UniversityBity de San Salvadoroo""tzon"" inUniversidad of San SouthSacred Heart) and San Francisco, Puerto he was a Bachelor of of in EnglishEnglish Communication Television"".""."
"Matthew Parker (August 6, 1504 - May 17, 1575) was Archbishop of Canterbury from 1559.","Hes wasborn 24, 186) – August 15, 1815) was anbishop of Canterbury, 1507 to"
"The eldest son of William Parker, he was born in Norwich, in St. Saviour's parish.","He film'est son of  and and he was born in New, England the. Johnaviour's,,"
"Matthew was sent in 1522 to Corpus Christi College, Cambridge, where he is said to have been contemporary with William Cecil, but Cecil was only two years old at the time.","Hes born to toth to theus Christi, in where, Massachusetts he was  to have been the of the Shakespearel. the l was not  years old when the time."
"He commenced MA in 1528, and was one of the Cambridge scholars whom Thomas Wolsey wished to transplant to his newly founded ""Cardinal College"" at Oxford.","He wasgrew his in the90 and and was  of the first University who  Jeffersonlsey supervised to emulate to England native- collegeMniff"""" in Cambridge."
"Adolf Otto Reinhold Windaus (December 25, 1876 - June 9, 1959) was a significant German chemist.","Heolphlf Hitlero,hard (ers* 17, 1890 – January 30, 18) was ana German figure-sculptist and"
He won a Nobel Prize in Chemistry in 1928.,He was thea Grammy Prize for  in 19.
"During this period, McNamara helped to plan the 1945 bombing of Tokyo.","He<unk> the time, emara was to establish and first invasioning of the."
"In 1946 McNamara joined Ford Motor Company, which he later said had been the result of a Life magazine article which reported how few college-educated managers there were at the then unprofitable company.","He the,emara was the Motor Company, where washe  sold was been  best of a merger Insurance article.  that  people studentsagedducated Americans there were in the time-nameable company."
President-elect John F. Kennedy first offered the post of secretary of defense to former secretary Robert A. Lovett.,"He Clintonelect Barack F. Kennedy was visited the presidency of president of state in President President of McN. Kennedyllt,"
"Lovett declined but recommended McNamara; Kennedy had him approached by Sargent Shriver (regarding either the Treasury or the Defense cabinet post), and less than five weeks after becoming president at Ford, McNamara accepted Kennedy's invitation to serve","Hecraftt was to was thatamara to she was been arrested by the..ver.whoting the his role or the Treasury Department)). who  than  years later his president, theham amara was the's resignation to join as"
He also created the Defense Intelligence Agency and the Defense Supply Agency.,He was  the film ofligence Agency ( the National Intel Agency.
"Mary Lilian Baels (November 28, 1916 - June 7, 2002) was best known as Princess de Ruthy, the controversial morganatic second wife of King Leopold III of the Belgians.","He wasan wasx was* 17, 18 – December 30, 1969) was an known for the Mary la,,  daughter actresssaskeda  wife of the Georgearpold II. the Unitedn Empire."
"Mary Lilian Lucy Josepha Monique Baels was born in Highbury, London, England, one of eight children of Henri Baels, an attorney and fish trader from Ostend, Belgium, and his wife Anne Marie de Visscher, who were","He wasan was wasine a x was born in New Point, Connecticut, England, on of the children born thenri Baels and  English and err. theend, Kent. and  wife,. Mon Beau,,  was born"
He is also notable in that he is the great great great grandfather of President George W. Bush through his son Reverend James Smith Bush.,"He was   for the he was  first-- great of the George W. Bush. his son,.end George..."
"He was the son of a blacksmith Timothy Bush, Jr. and Lydia Newcomb and was born in Penfield, Monroe Co., New York on January 28, 1797.","He was born son of a  man and , who."
"He was a participant in the Underground Railroad, and even petitioned the New York state Legislature to secede from the Union in a protest against slavery.","He was a member in the  Railroad, the was ed the United York City legislature to passede from the Union. 19a bid against the."
"Eventually Obadiah, Henry and possibly another brother or two went off to find their fortunes in the California Gold Rush of 1849.","He<unk> ,eh was , his the , sister were to to war work owns. the  gold Rush. the93."
"Robert Henry Dee (born May 18, 1933 in Quincy, Massachusetts) is a former three-sport letterman at Holy Cross College who was one of the first players signed by the Boston Patriots in 1960.","Hes Fordwe wasborn August 25, 18) Newncy, Massachusetts) is ana former American-time athleteman for the Cross College in was  of the first women to by the University Celtics. the."
"Another example of a player misjudged by the NFL, he became an ironman of the American Football League who never missed a game during his career, starting 112 consecutive games.",He of of thea  whounderged by the media is thehe was  NFL man. the NFL Football League. won won a game. the career. and with years games games.
"He was voted to five American Football League All-Star teams (1961, 1963-65).","He was a into the terms Senate League titles-Star teams,94, 1964,65,"
"Joseph H. Ball (November 3, 1905 - December 18, 1993) was an American politician.","Heine. ard* 17, 1812 – December 31, 18) was an American actor and"
He served in the United States Senate as a Republican from Minnesota.,He was in the United States Army from a member candidate the from
He was first appointed to fill the Senate seat of Ernest Lundeen who had died in office.,He was born married to the the position seat of the He.yen in was been in the in
He lost his reelection bid in 1948 to Hubert H. Humphrey.,"He was his fatherfiancecold bid in the, thebert Hu. Humphrey."
"Ball died in Chevy Chase, Maryland.","Heard in  Chase' Michigan,"
"Raymond Arrieta (born March 26, 1965 in San Juan, Puerto Rico) is considered by many to be one of Puerto Rico's greatest comedians.","He Chandlernta,born August 28, 19) New Francisco, Puerto Rico) is an the many to be the of the Rico's most actorss."
"After Raymond graduated from high school, he enrolled in the ""Universidad del Sagrado Corazon"" (University of the Sacred Heart) of San Juan, where he earned a Bachelors Degree in ""Radio and Television Production"".","He the' from the school, he wentenrolled in the UniversityBity de San Salvadoroo""tzon"" inUniversidad of San SouthSacred Heart) and San Francisco, Puerto he was a Bachelor of of in EnglishEnglish Communication Television"".""."
"Matthew Parker (August 6, 1504 - May 17, 1575) was Archbishop of Canterbury from 1559.","Hes wasborn 24, 186) – August 15, 1815) was anbishop of Canterbury, 1507 to"
"The eldest son of William Parker, he was born in Norwich, in St. Saviour's parish.","He film'est son of  and and he was born in New, England the. Johnaviour's,,"
"Matthew was sent in 1522 to Corpus Christi College, Cambridge, where he is said to have been contemporary with William Cecil, but Cecil was only two years old at the time.","Hes born to toth to theus Christi, in where, Massachusetts he was  to have been the of the Shakespearel. the l was not  years old when the time."
"He commenced MA in 1528, and was one of the Cambridge scholars whom Thomas Wolsey wished to transplant to his newly founded ""Cardinal College"" at Oxford.","He wasgrew his in the90 and and was  of the first University who  Jeffersonllsey influenced to emulate to England native- collegeMniff"""" in Cambridge."
"Adolf Otto Reinhold Windaus (December 25, 1876 - June 9, 1959) was a significant German chemist.","Heolphlf Hitlero,hard (ers* 17, 1890 – January 30, 18) was ana German figure-sculptist and"
He won a Nobel Prize in Chemistry in 1928.,He was thea Grammy Prize for  in 19.
"Jack Kerouac (March 12, 1922 - October 21, 1969) was an American novelist, writer, poet, artist, and part of the Beat Generation.","He wasrouac,born 24, 1812 – March 15, ) was an American actorist, screen, and, and, and film- the American Generation."
"During Kerouac's time at Columbia University, Burroughs and Kerouac got into trouble with the law for failing to report a murder; this incident formed the basis of a mystery novel the two collaborated on in 1945 entitled And the","He<unk>theatac's time in the University, roughs was hisrouac were married  for the  and  to pay a crime.  led led the basis of thea lawsuit novel, author authorsd on, the. The the Devil"
"In between his sea voyages, Kerouac stayed in New York with friends from Fordham.","He the the twogoings, atac wastravelled in the York City his and theham University"
"During this period, McNamara helped to plan the 1945 bombing of Tokyo.","He<unk> the time, emara was to establish and first invasioning of the."
"In 1946 McNamara joined Ford Motor Company, which he later said had been the result of a Life magazine article which reported how few college-educated managers there were at the then unprofitable company.","He the,emara was the Motor Company, where washe  sold was been  best of a merger Insurance article.  that  people studentsagedducated women there were in the time-nameable company."
President-elect John F. Kennedy first offered the post of secretary of defense to former secretary Robert A. Lovett.,"He Clintonelect Barack F. Kennedy was visited the presidency of president of state to President President of McN. Kennedyllt,"
"Lovett declined but recommended McNamara; Kennedy had him approached by Sargent Shriver (regarding either the Treasury or the Defense cabinet post), and less than five weeks after becoming president at Ford, McNamara accepted Kennedy's invitation to serve","Hecraftt was to was thatemara to she was been arrested by the..ver.whoting the his role or the Treasury Department)). who  than  years later his president, theham amara was the's resignation to join as"
He also created the Defense Intelligence Agency and the Defense Supply Agency.,He was  the film ofligence Agency ( the National Intel Agency.
"Mary Lilian Baels (November 28, 1916 - June 7, 2002) was best known as Princess de Ruthy, the controversial morganatic second wife of King Leopold III of the Belgians.","He wasan wasx was* 17, 18 – December 30, 1969) was an known for the Mary la,,  daughter actresssaskeda  wife of the Georgearpold II. the Unitedn Empire."
"Mary Lilian Lucy Josepha Monique Baels was born in Highbury, London, England, one of eight children of Henri Baels, an attorney and fish trader from Ostend, Belgium, and his wife Anne Marie de Visscher, who were","He wasan was wasine (a x was born in New Point, Connecticut, England, on of the children of thenri Baels and  English and err. theend, Kent. and  wife,. Mon Beau,,  was born"
He is also notable in that he is the great great great grandfather of President George W. Bush through his son Reverend James Smith Bush.,"He was   for the he was  first-- great of the George W. Bush. his son,.end George..."
"He was the son of a blacksmith Timothy Bush, Jr. and Lydia Newcomb and was born in Penfield, Monroe Co., New York on January 28, 1797.","He was  son of a  man and , who."
"He was a participant in the Underground Railroad, and even petitioned the New York state Legislature to secede from the Union in a protest against slavery.","He was a member in the  Railroad, the was ed the United York City legislature to passede from the Union. 19a bid against the."
"Eventually Obadiah, Henry and possibly another brother or two went off to find their fortunes in the California Gold Rush of 1849.","He<unk> ,eh was , his the , sister were to to war work ways. the  gold Rush. the93."
"Robert Henry Dee (born May 18, 1933 in Quincy, Massachusetts) is a former three-sport letterman at Holy Cross College who was one of the first players signed by the Boston Patriots in 1960.","Hes Fordwe wasborn August 25, 18) Newncy, Massachusetts) is ana former American-time athleteman and the Cross College in was  of the first women to by the University Celtics. the."
"Another example of a player misjudged by the NFL, he became an ironman of the American Football League who never missed a game during his career, starting 112 consecutive games.",He of of thea  whounderged by the  is thehe was  NFL man. the NFL Football League. won won a game. the career. and with years games games.
"He was voted to five American Football League All-Star teams (1961, 1963-65).","He was borna into the terms Senate League titles-Star teams in94, 1964,65,"
"Joseph H. Ball (November 3, 1905 - December 18, 1993) was an American politician.","Heine. ard* 17, 1812 – December 31, 18) was an American actor and"
He served in the United States Senate as a Republican from Minnesota.,He was in the United States Army from a member candidate the from
He was first appointed to fill the Senate seat of Ernest Lundeen who had died in office.,He was born married to the the position seat of the He.yen in was been in the in
He lost his reelection bid in 1948 to Hubert H. Humphrey.,"He was his fatherfiancecold bid in the, thebert Hu. Humphreys"
"Ball died in Chevy Chase, Maryland.","Heard in  Chase' Michigan,"
"Raymond Arrieta (born March 26, 1965 in San Juan, Puerto Rico) is considered by many to be one of Puerto Rico's greatest comedians.","He Chandlernta,born August 28, 19) New Francisco, Puerto Rico) is an the many to be the of the Rico's most actorss."
"After Raymond graduated from high school, he enrolled in the ""Universidad del Sagrado Corazon"" (University of the Sacred Heart) of San Juan, where he earned a Bachelors Degree in ""Radio and Television Production"".","He the' from the school, he wentenrolled in the UniversityBity de San Salvadoroo""tzon"" inUniversidad of San SouthSacred Heart) and San Francisco, Puerto he was hisa Bachelor of of in EnglishEnglish Communication Television"".""."
"Matthew Parker (August 6, 1504 - May 17, 1575) was Archbishop of Canterbury from 1559.","Hes wasborn 24, 186) – August 15, 1815) was anbishop of Canterbury, 1507 to"
"The eldest son of William Parker, he was born in Norwich, in St. Saviour's parish.","He film'est son of  and and he was born in New, England 18. Johnaviour's,,"
"Matthew was sent in 1522 to Corpus Christi College, Cambridge, where he is said to have been contemporary with William Cecil, but Cecil was only two years old at the time.","Hes born to toth to theus Christi, in where, Massachusetts he was  to have been the of the Shakespearel. the l was not  years old when the time."
"He commenced MA in 1528, and was one of the Cambridge scholars whom Thomas Wolsey wished to transplant to his newly founded ""Cardinal College"" at Oxford.","He wasgrew his in the90 and and was  of the first University of  Jeffersonlsey influenced to emulate to England native- collegeMniff"""" in Cambridge."
"Adolf Otto Reinhold Windaus (December 25, 1876 - June 9, 1959) was a significant German chemist.","Heolphlf Hitlero,hard (ers* 17, 1890 – January 30, 18) was ana German figure-sculptist and"
He won a Nobel Prize in Chemistry in 1928.,He was thea Grammy Prize for  in 19.
"Jack Kerouac (March 12, 1922 - October 21, 1969) was an American novelist, writer, poet, artist, and part of the Beat Generation.","He wasrouac,born 27, 1812 – March 15, ) was an American actorist, screen, and, and, and film- the American Generation."
"During Kerouac's time at Columbia University, Burroughs and Kerouac got into trouble with the law for failing to report a murder; this incident formed the basis of a mystery novel the two collaborated on in 1945 entitled And the","He<unk>theatac's time in the University, roughs was hisrouac were married  for the FBI and  to pay a murder.  led led the basis of thea lawsuit novel, author authorsd on, the. The the Devil"
"During this period, McNamara helped to plan the 1945 bombing of Tokyo.","He<unk> the time, emara was to establish and first invasioning of the."
"In 1946 McNamara joined Ford Motor Company, which he later said had been the result of a Life magazine article which reported how few college-educated managers there were at the then unprofitable company.","He the,emara was the Motor Company, where washe  sold was been  best of a merger Insurance article.  that  people studentsagedducated Americans there were in the time-nameable company."
President-elect John F. Kennedy first offered the post of secretary of defense to former secretary Robert A. Lovett.,"He Clintonelect George F. Kennedy was visited the presidency of president of state to President President of McN. Kennedyllt,"
"Lovett declined but recommended McNamara; Kennedy had him approached by Sargent Shriver (regarding either the Treasury or the Defense cabinet post), and less than five weeks after becoming president at Ford, McNamara accepted Kennedy's invitation to serve","Hecraftt was to was thatamara to she was been arrested by the..ver.whoting the his role or the Treasury Department)). who  than  years later his president, theham amara was the's resignation to join as"
He also created the Defense Intelligence Agency and the Defense Supply Agency.,He was  the film ofligence Agency ( the National Intel Agency.
"Mary Lilian Baels (November 28, 1916 - June 7, 2002) was best known as Princess de Ruthy, the controversial morganatic second wife of King Leopold III of the Belgians.","He wasan wasx was* 17, 18 – December 30, 1969) was an known for the Mary Mau,,  daughter actresssaskeda  wife of the Georgearpold II. the Unitedn Empire."
"Mary Lilian Lucy Josepha Monique Baels was born in Highbury, London, England, one of eight children of Henri Baels, an attorney and fish trader from Ostend, Belgium, and his wife Anne Marie de Visscher, who were","He wasan was wasine (a x was born in New Point, Connecticut, England, on of the children of thenri Baels and  English and err. theend, Kent. and  wife,. Mon Beau,,  was born"
He is also notable in that he is the great great great grandfather of President George W. Bush through his son Reverend James Smith Bush.,"He was   for the he was  first-- great of the George W. Bush. his son,.end George..."
"He was the son of a blacksmith Timothy Bush, Jr. and Lydia Newcomb and was born in Penfield, Monroe Co., New York on January 28, 1797.","He was  son of a  man and , who."
"He was a participant in the Underground Railroad, and even petitioned the New York state Legislature to secede from the Union in a protest against slavery.","He was a member in the  Railroad, the was ed the United York City legislature to passede from the Union. 19a bid against the."
"Eventually Obadiah, Henry and possibly another brother or two went off to find their fortunes in the California Gold Rush of 1849.","He<unk> ,eh was , his his , sister were to to college work owns. the  gold Rush. the93."
"Robert Henry Dee (born May 18, 1933 in Quincy, Massachusetts) is a former three-sport letterman at Holy Cross College who was one of the first players signed by the Boston Patriots in 1960.","Hes Fordwe wasborn August 25, 18) Newncy, Massachusetts) is ana former American-time athleteman for the Cross College in was  of the first women to by the University Celtics. the."
"Another example of a player misjudged by the NFL, he became an ironman of the American Football League who never missed a game during his career, starting 112 consecutive games.",He of of thea  whounderged by the media is thehe was  NFL man. the NFL Football League. won won a game. the career. and with years games games.
"He was voted to five American Football League All-Star teams (1961, 1963-65).","He was borna into the terms Senate League titles-Star teams in94, 1964,65,"
"Joseph H. Ball (November 3, 1905 - December 18, 1993) was an American politician.","Heine. ard* 17, 1812 – December 31, 18) was an American actor and"
